Категория;Изображения;Аннотация;Описание;Товар;Адрес;Видим;Бренд;Заголовок страницы
Косметика для волос/Estel/Estel Airex - Средства для укладки волос;estel2080.jpg;<p>Молочко для укладки волос Легкая фиксация</p>;;Молочко для укладки волос;molochko_dlya_ukladki_volos;1;Estel;Молочко для укладки волос
Косметика для волос/Estel/Краски для волос;estel2081.jpg;<p>Крем-краска</p>;;ESSEX  - Крем-краска 60 мл;essex__-_krem-kraska_60_ml;1;Estel;ESSEX  - Крем-краска 60 мл
Косметика для волос/Estel/Краски для волос;estel2082.gif;<p>Профессиональная краска для седых волос</p>;;DE LUXE SILVER -Профессиональная краска для седых волос 60 мл;de_luxe_silver_-professionalnaya_kraska_dlya_sedih_volos_60_ml;1;Estel;DE LUXE SILVER -Профессиональная краска для седых волос 60 мл
Косметика для волос/Estel/Краски для волос;estel2083.jpg;<p>Полуперманентная крем-краска для волос</p>;;SENSE DE LUXE - Полуперманентная крем-краска для волос 60 мл;sense_de_luxe_-_polupermanentnaya_krem-kraska_dlya_volos_60_ml;1;Estel;SENSE DE LUXE - Полуперманентная крем-краска для волос 60 мл
Косметика для волос/Schwarzkopf/OSiS+ Session Label  - Линия для стайлинга;schwarzkopf2084.jpg;<p>Шелковый крем-блеск</p>;;OSIS+ Session Label Silk Shine Cream Шелковый крем-блеск 150 мл;osis_session_label_silk_shine_cream_shelkovij_krem-blesk_150_ml;1;Schwarzkopf;OSIS+ Session Label Silk Shine Cream Шелковый крем-блеск 150 мл
Косметика для волос/Schwarzkopf/OSiS+ Session Label  - Линия для стайлинга;schwarzkopf2085.jpg;<p>Моделирующая паста</p>;;OSIS+ Session Label  Molding Paste Моделирующая паста  75 мл;osis_session_label__molding_paste_modeliruyushaya_pasta__75_ml;1;Schwarzkopf;OSIS+ Session Label  Molding Paste Моделирующая паста  75 мл
Косметика для волос/Schwarzkopf/OSiS+ Session Label  - Линия для стайлинга;schwarzkopf2086.jpg;<p>Подиумный лак эластичной фиксации</p>;;OSIS+ Session Label Flexible Hold Hairspray Подиумный лак эластичной фиксации 300 мл;osis_session_label_flexible_hold_hairspray_podiumnij_lak_elastichnoj_fiksacii_300_ml;1;Schwarzkopf;OSIS+ Session Label Flexible Hold Hairspray Подиумный лак эластичной фиксации 300 мл
Косметика для волос/Schwarzkopf/OSiS+ Session Label  - Линия для стайлинга;schwarzkopf2087.jpg;<p>Подиумный лак сильной фиксации</p>;;OSIS+ Session Label Strong Hold Hairspray Подиумный лак сильной фиксации 300 мл;osis_session_label_strong_hold_hairspray_podiumnij_lak_silnoj_fiksacii_300_ml;1;Schwarzkopf;OSIS+ Session Label Strong Hold Hairspray Подиумный лак сильной фиксации 300 мл
Косметика для волос/Schwarzkopf/Professionnelle;schwarzkopf2088.jpg;<p>Шампунь для всех типов волос</p>;;Schwarzkopf Professionnelle - Шампунь для всех типов волос 5000 мл.;schwarzkopf_professionnelle_-_shampun_dlya_vseh_tipov_volos_5000_ml;1;Schwarzkopf;Schwarzkopf Professionnelle - Шампунь для всех типов волос 5000 мл.
Косметика для волос/Schwarzkopf/OSiS+ Session Label  - Линия для стайлинга;schwarzkopf2089.jpg;<p>Солевой спрей</p>;;OSIS+ Session Label Salt Spray Солевой спрей 200 мл.;osis_session_label_salt_spray_solevoj_sprej_200_ml;1;Schwarzkopf;OSIS+ Session Label Salt Spray Солевой спрей 200 мл.
